Period,Minutes Remaining,Seconds Remaining,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Action Type_Frequency,Team Name_Frequency,Home Team_Frequency,Away Team_Frequency,ShotType_2PT Field Goal,ShotType_3PT Field Goal,ShotZoneBasic_Above the Break 3,ShotZoneBasic_Backcourt,ShotZoneBasic_In The Paint (Non-RA),ShotZoneBasic_Left Corner 3,ShotZoneBasic_Mid-Range,ShotZoneBasic_Restricted Area,ShotZoneBasic_Right Corner 3,ShotZoneArea_Back Court(BC),ShotZoneArea_Center(C),ShotZoneArea_Left Side Center(LC),ShotZoneArea_Left Side(L),ShotZoneArea_Right Side Center(RC),ShotZoneArea_Right Side(R),ShotZoneRange_16-24 ft.,ShotZoneRange_24+ ft.,ShotZoneRange_8-16 ft.,ShotZoneRange_Back Court Shot,ShotZoneRange_Less Than 8 ft.,SeasonType_Playoffs,SeasonType_Regular Season,Game ID_Frequency,Game Event ID_Frequency,Player ID_Frequency
4,0,13,24,28,244,0,20160329,0.5786407766990291,0.017475728155339806,0.04271844660194175,0.013592233009708738,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.005825242718446602
2,7,55,1,0,15,1,20181201,0.003883495145631068,0.017475728155339806,0.031067961165048542,0.013592233009708738,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
1,1,51,25,-112,228,1,20170410,0.5786407766990291,0.040776699029126215,0.04660194174757282,0.013592233009708738,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
4,7,8,0,0,0,1,20050116,0.05631067961165048,0.017475728155339806,0.02524271844660194,0.04660194174757282,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
2,10,20,1,10,13,1,20041211,0.05631067961165048,0.04271844660194175,0.031067961165048542,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.003883495145631068
3,2,32,10,85,66,0,20030126,0.015533980582524271,0.038834951456310676,0.03495145631067961,0.040776699029126215,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001941747572815534,0.007766990291262136,0.005825242718446602
1,2,6,19,-103,167,1,20100202,0.5786407766990291,0.04271844660194175,0.03495145631067961,0.04271844660194175,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.007766990291262136
3,1,42,0,0,0,1,20061230,0.001941747572815534,0.02524271844660194,0.031067961165048542,0.019417475728155338,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.003883495145631068
3,10,17,4,43,12,0,20060319,0.5786407766990291,0.038834951456310676,0.019417475728155338,0.04271844660194175,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
1,7,8,0,1,0,1,20140305,0.05631067961165048,0.04271844660194175,0.03300970873786408,0.021359223300970873,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.005825242718446602,0.003883495145631068
3,0,59,24,-148,200,0,20151119,0.5786407766990291,0.038834951456310676,0.03300970873786408,0.040776699029126215,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.005825242718446602
3,3,4,25,-209,138,0,20090411,0.5786407766990291,0.036893203883495145,0.03495145631067961,0.02912621359223301,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
3,2,0,17,-170,45,0,20010329,0.5786407766990291,0.036893203883495145,0.03495145631067961,0.04466019417475728,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
2,10,26,4,10,44,0,20090102,0.5786407766990291,0.040776699029126215,0.04660194174757282,0.04854368932038835,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
1,0,27,0,0,0,1,20001201,0.05631067961165048,0.04660194174757282,0.03300970873786408,0.04660194174757282,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
